"No."	"PosX"	"PosY"	"PosZ"	"FrontX"	"FrontY"	"FrontZ"	"LeftX"	"LeftY"	"LeftZ"	"UpX"	"UpY"	"UpZ"
2900	-125.731811	12.035520	-24.638329	-0.943961	-0.288914	-0.159583	-0.112663	-0.172412	0.978561	-0.310234	0.941702	0.130200
2901	-125.826253	12.006751	-24.654239	-0.944865	-0.286471	-0.158632	-0.113023	-0.169362	0.979052	-0.307336	0.943001	0.127646
2902	-125.920785	11.978228	-24.670054	-0.945757	-0.284038	-0.157690	-0.113368	-0.166328	0.979532	-0.304453	0.944276	0.125105
2903	-126.015405	11.949946	-24.685775	-0.946636	-0.281616	-0.156756	-0.113698	-0.163311	0.980001	-0.301584	0.945527	0.122577
2904	-126.110113	11.921906	-24.701403	-0.947502	-0.279207	-0.155832	-0.114012	-0.160312	0.980460	-0.298733	0.946754	0.120063
2905	-126.204906	11.894107	-24.716940	-0.948356	-0.276808	-0.154916	-0.114312	-0.157330	0.980908	-0.295896	0.947958	0.117563
2906	-126.299784	11.866547	-24.732385	-0.949197	-0.274419	-0.154008	-0.114596	-0.154367	0.981345	-0.293073	0.949139	0.115077
2907	-126.394747	11.839226	-24.747739	-0.950027	-0.272040	-0.153109	-0.114865	-0.151422	0.981773	-0.290266	0.950297	0.112607
2908	-126.489791	11.812142	-24.763005	-0.950845	-0.269672	-0.152217	-0.115119	-0.148497	0.982189	-0.287473	0.951434	0.110153
2909	-126.584916	11.785294	-24.778181	-0.951653	-0.267312	-0.151333	-0.115358	-0.145591	0.982596	-0.284692	0.952548	0.107715
2910	-126.680122	11.758682	-24.793269	-0.952448	-0.264962	-0.150457	-0.115583	-0.142704	0.982993	-0.281927	0.953641	0.105293
2911	-126.775406	11.732303	-24.808271	-0.953232	-0.262626	-0.149589	-0.115794	-0.139838	0.983380	-0.279179	0.954711	0.102887
2912	-126.870769	11.706159	-24.823186	-0.954004	-0.260300	-0.148730	-0.115991	-0.136991	0.983758	-0.276447	0.955760	0.100497
2913	-126.966208	11.680245	-24.838016	-0.954764	-0.257986	-0.147879	-0.116174	-0.134165	0.984126	-0.273731	0.956788	0.098124
2914	-127.061722	11.654563	-24.852760	-0.955514	-0.255684	-0.147036	-0.116344	-0.131359	0.984484	-0.271031	0.957795	0.095768
2915	-127.157311	11.629111	-24.867421	-0.956252	-0.253393	-0.146201	-0.116500	-0.128575	0.984833	-0.268347	0.958781	0.093430
2916	-127.252973	11.603887	-24.881999	-0.956979	-0.251112	-0.145373	-0.116643	-0.125812	0.985173	-0.265678	0.959747	0.091109
2917	-127.348708	11.578891	-24.896494	-0.957696	-0.248841	-0.144553	-0.116772	-0.123071	0.985504	-0.263024	0.960693	0.088807
2918	-127.444513	11.554121	-24.910908	-0.958403	-0.246581	-0.143740	-0.116888	-0.120353	0.985826	-0.260385	0.961620	0.086525
2919	-127.540389	11.529578	-24.925241	-0.959100	-0.244329	-0.142933	-0.116990	-0.117657	0.986139	-0.257759	0.962528	0.084261
2920	-127.636334	11.505258	-24.939493	-0.959787	-0.242087	-0.142134	-0.117079	-0.114984	0.986444	-0.255148	0.963417	0.082017
2921	-127.732347	11.481162	-24.953666	-0.960464	-0.239858	-0.141342	-0.117156	-0.112334	0.986740	-0.252555	0.964287	0.079792
2922	-127.828427	11.457288	-24.967760	-0.961130	-0.237641	-0.140559	-0.117221	-0.109707	0.987028	-0.249978	0.965138	0.077587
2923	-127.924573	11.433635	-24.981777	-0.961785	-0.235435	-0.139782	-0.117274	-0.107104	0.987307	-0.247418	0.965971	0.075401
2924	-128.020785	11.410203	-24.995715	-0.962431	-0.233243	-0.139014	-0.117315	-0.104524	0.987579	-0.244876	0.966785	0.073235
2925	-128.117060	11.386989	-25.009578	-0.963066	-0.231061	-0.138253	-0.117344	-0.101970	0.987842	-0.242350	0.967581	0.071090
2926	-128.213398	11.363993	-25.023364	-0.963694	-0.228887	-0.137497	-0.117361	-0.099439	0.988098	-0.239835	0.968361	0.068966
2927	-128.309800	11.341215	-25.037075	-0.964312	-0.226721	-0.136747	-0.117365	-0.096934	0.988347	-0.237335	0.969124	0.066865
2928	-128.406262	11.318652	-25.050712	-0.964921	-0.224566	-0.136005	-0.117358	-0.094454	0.988588	-0.234850	0.969870	0.064786
2929	-128.502784	11.296303	-25.064275	-0.965521	-0.222423	-0.135269	-0.117340	-0.092000	0.988821	-0.232381	0.970600	0.062729
