"No."	"PosX"	"PosY"	"PosZ"	"FrontX"	"FrontY"	"FrontZ"	"LeftX"	"LeftY"	"LeftZ"	"UpX"	"UpY"	"UpZ"
62	-213.870309	24.660593	7.809796	0.873841	0.486211	0.000230	0.000417	-0.000275	-1.000000	-0.486211	0.873841	-0.000443
63	-212.122627	25.633016	7.810257	0.873841	0.486211	0.000230	0.000420	-0.000281	-1.000000	-0.486211	0.873841	-0.000449
64	-210.374945	26.605439	7.810718	0.873841	0.486211	0.000230	0.000421	-0.000283	-1.000000	-0.486211	0.873841	-0.000452
65	-208.627262	27.577862	7.811178	0.873841	0.486211	0.000230	0.000421	-0.000283	-1.000000	-0.486211	0.873841	-0.000452
66	-206.879580	28.550285	7.811639	0.873841	0.486211	0.000230	0.000419	-0.000280	-1.000000	-0.486211	0.873841	-0.000449
67	-205.131898	29.522708	7.812100	0.873841	0.486211	0.000230	0.000417	-0.000275	-1.000000	-0.486211	0.873841	-0.000443
68	-203.384216	30.495131	7.812561	0.873841	0.486211	0.000230	0.000413	-0.000268	-1.000000	-0.486211	0.873841	-0.000435
69	-201.636533	31.467554	7.813021	0.873841	0.486211	0.000230	0.000408	-0.000259	-1.000000	-0.486211	0.873841	-0.000425
70	-199.888851	32.439977	7.813482	0.873841	0.486211	0.000230	0.000402	-0.000249	-1.000000	-0.486211	0.873841	-0.000413
71	-198.141169	33.412400	7.813943	0.873841	0.486211	0.000230	0.000395	-0.000237	-1.000000	-0.486211	0.873841	-0.000399
72	-196.393486	34.384823	7.814404	0.873841	0.486211	0.000230	0.000388	-0.000223	-1.000000	-0.486211	0.873841	-0.000384
73	-194.645804	35.357246	7.814865	0.873841	0.486211	0.000230	0.000380	-0.000209	-1.000000	-0.486211	0.873841	-0.000367
74	-192.898122	36.329669	7.815325	0.873841	0.486211	0.000230	0.000372	-0.000194	-1.000000	-0.486211	0.873841	-0.000350
75	-191.150440	37.302092	7.815786	0.873841	0.486211	0.000230	0.000363	-0.000178	-1.000000	-0.486211	0.873841	-0.000332
76	-189.402757	38.274515	7.816247	0.873841	0.486211	0.000230	0.000354	-0.000162	-1.000000	-0.486211	0.873841	-0.000313
77	-187.655075	39.246938	7.816708	0.873841	0.486211	0.000230	0.000345	-0.000145	-1.000000	-0.486211	0.873841	-0.000295
78	-185.907393	40.219361	7.817169	0.873841	0.486211	0.000230	0.000335	-0.000129	-1.000000	-0.486211	0.873841	-0.000276
79	-184.159711	41.191784	7.817629	0.873841	0.486211	0.000230	0.000326	-0.000112	-1.000000	-0.486211	0.873841	-0.000257
80	-182.412028	42.164207	7.818090	0.873841	0.486211	0.000230	0.000317	-0.000096	-1.000000	-0.486211	0.873841	-0.000238
81	-180.664346	43.136630	7.818551	0.873841	0.486211	0.000230	0.000309	-0.000081	-1.000000	-0.486211	0.873841	-0.000221
82	-178.916664	44.109053	7.819012	0.873841	0.486211	0.000230	0.000300	-0.000066	-1.000000	-0.486211	0.873841	-0.000204
83	-177.168982	45.081476	7.819473	0.873841	0.486211	0.000230	0.000293	-0.000052	-1.000000	-0.486211	0.873841	-0.000188
84	-175.421299	46.053899	7.819933	0.873841	0.486211	0.000230	0.000286	-0.000040	-1.000000	-0.486211	0.873841	-0.000174
85	-173.673617	47.026322	7.820394	0.873841	0.486211	0.000230	0.000280	-0.000029	-1.000000	-0.486211	0.873841	-0.000161
86	-171.925935	47.998745	7.820855	0.873841	0.486211	0.000230	0.000274	-0.000019	-1.000000	-0.486211	0.873841	-0.000150
87	-170.178252	48.971168	7.821316	0.873841	0.486211	0.000230	0.000270	-0.000011	-1.000000	-0.486211	0.873841	-0.000141
88	-168.430570	49.943591	7.821777	0.873841	0.486211	0.000230	0.000266	-0.000005	-1.000000	-0.486211	0.873841	-0.000134
89	-166.682888	50.916014	7.822237	0.873841	0.486211	0.000230	0.000264	-0.000001	-1.000000	-0.486211	0.873841	-0.000130
90	-164.935206	51.888437	7.822698	0.873841	0.486211	0.000230	0.000264	0.000000	-1.000000	-0.486211	0.873841	-0.000128
91	-163.187523	52.860860	7.823159	0.873841	0.486211	0.000230	0.000280	-0.000029	-1.000000	-0.486211	0.873841	-0.000162
92	-161.439841	53.833283	7.823620	0.873841	0.486211	0.000230	0.000324	-0.000108	-1.000000	-0.486211	0.873841	-0.000252
93	-159.692159	54.805706	7.824081	0.873841	0.486211	0.000230	0.000384	-0.000217	-1.000000	-0.486211	0.873841	-0.000376
94	-157.944477	55.778129	7.824541	0.873841	0.486211	0.000230	0.000450	-0.000335	-1.000000	-0.486211	0.873841	-0.000512
95	-156.196794	56.750552	7.825002	0.873841	0.486211	0.000230	0.000510	-0.000443	-1.000000	-0.486211	0.873841	-0.000636
96	-154.449112	57.722974	7.825463	0.873841	0.486211	0.000230	0.000554	-0.000521	-1.000000	-0.486211	0.873841	-0.000725
97	-152.701430	58.695397	7.825924	0.873841	0.486211	0.000230	0.000569	-0.000549	-1.000000	-0.486211	0.873841	-0.000756
98	-150.946655	59.654710	7.826369	0.890678	0.454635	0.000194	0.000491	-0.000535	-1.000000	-0.454634	0.890678	-0.000700
99	-149.126327	60.481450	7.826665	0.929172	0.369648	0.000100	0.000290	-0.000459	-1.000000	-0.369648	0.929172	-0.000534
100	-147.233242	61.123754	7.826759	0.962793	0.270239	-0.000008	0.000060	-0.000243	-1.000000	-0.270239	0.962793	-0.000250
101	-145.281154	61.553786	7.826627	0.987464	0.157846	-0.000125	-0.000150	0.000147	-1.000000	-0.157846	0.987464	0.000169
102	-143.291977	61.749286	7.826254	0.999328	0.036659	-0.000248	-0.000274	0.000708	-1.000000	-0.036659	0.999328	0.000717
103	-141.294483	61.689635	7.825088	0.994953	-0.100340	-0.001175	-0.001038	0.001412	-0.999998	0.100341	0.994952	0.001301
104	-139.324252	61.354565	7.821696	0.972855	-0.231405	-0.002124	-0.001654	0.002228	-0.999996	0.231409	0.972855	0.001785
105	-137.410002	60.778947	7.816987	0.940430	-0.339979	-0.002471	-0.001571	0.002924	-0.999994	0.339984	0.940429	0.002216
106	-135.563880	60.011413	7.812280	0.906056	-0.423152	-0.002101	-0.000787	0.003279	-0.999994	0.423156	0.906053	0.002638
107	-133.782315	59.103319	7.809171	0.877038	-0.480420	-0.000826	0.000742	0.003076	-0.999995	0.480420	0.877033	0.003054
108	-132.047438	58.108419	7.809861	0.860843	-0.508867	0.001826	0.003305	0.002004	-0.999993	0.508859	0.860843	0.003407
109	-130.323530	57.094515	7.817955	0.866465	-0.499199	0.006191	0.006999	-0.000252	-0.999975	0.499188	0.866487	0.003276
110	-128.578625	56.117290	7.829344	0.878539	-0.477662	0.002799	-0.019871	-0.042403	-0.998903	0.477257	0.877520	-0.046744
111	-126.810465	55.182915	7.815529	0.888754	-0.457887	-0.021338	-0.097616	-0.143579	-0.984813	0.447869	0.877340	-0.172304
112	-125.030075	54.276868	7.724313	0.889205	-0.451426	-0.074355	-0.220485	-0.280430	-0.934208	0.400874	0.847097	-0.348893
113	-123.263841	53.364398	7.509374	0.874429	-0.464222	-0.140969	-0.362039	-0.430952	-0.826564	0.322958	0.773808	-0.544903
114	-121.542019	52.409753	7.160207	0.845042	-0.492533	-0.208124	-0.493141	-0.567448	-0.659405	0.206679	0.659859	-0.722405
115	-119.892319	51.388337	6.677834	0.802583	-0.529980	-0.273827	-0.593578	-0.663800	-0.455011	0.059380	0.527721	-0.847339
116	-118.339119	50.287417	6.067320	0.748927	-0.571218	-0.335884	-0.655899	-0.711191	-0.252990	-0.094365	0.409777	-0.907292
117	-116.900878	49.105569	5.337966	0.689250	-0.608980	-0.392527	-0.689270	-0.718082	-0.096254	-0.223249	0.336900	-0.914690
118	-115.581445	47.858012	4.501052	0.630533	-0.637055	-0.443384	-0.714358	-0.699701	-0.010551	-0.303515	0.323387	-0.896270
119	-114.377125	46.562711	3.568344	0.574322	-0.657022	-0.488341	-0.741505	-0.670287	0.029755	-0.346878	0.345018	-0.872146
120	-113.281980	45.234186	2.551402	0.521454	-0.670543	-0.527691	-0.763711	-0.642588	0.061861	-0.380568	0.370745	-0.847181
121	-112.288858	43.883846	1.460956	0.472302	-0.679069	-0.561957	-0.769472	-0.628620	0.112914	-0.429934	0.379081	-0.819423
122	-111.391366	42.519239	0.307129	0.425131	-0.685563	-0.590989	-0.757464	-0.626899	0.182335	-0.495493	0.370137	-0.785803
123	-110.589054	41.141610	-0.900117	0.376882	-0.692064	-0.615636	-0.729520	-0.631329	0.263105	-0.570755	0.349960	-0.742810
124	-109.885439	39.751134	-2.153306	0.326220	-0.698366	-0.637075	-0.687595	-0.637783	0.347054	-0.648686	0.324834	-0.688251
