"No."	"PosX"	"PosY"	"PosZ"	"FrontX"	"FrontY"	"FrontZ"	"LeftX"	"LeftY"	"LeftZ"	"UpX"	"UpY"	"UpZ"
1155	-181.940055	21.884828	3.741013	0.901925	-0.426844	-0.065846	-0.072972	-0.000340	-0.997334	0.425683	0.904325	-0.031455
1156	-181.486400	21.677247	3.707952	0.912647	-0.403323	-0.066383	-0.072740	-0.000443	-0.997351	0.402225	0.915058	-0.029742
1157	-181.027486	21.481611	3.674640	0.922958	-0.379050	-0.066852	-0.072470	-0.000555	-0.997370	0.378016	0.925376	-0.027982
1158	-180.563526	21.298302	3.641111	0.932787	-0.354098	-0.067247	-0.072161	-0.000673	-0.997393	0.353130	0.935208	-0.026180
1159	-180.094815	21.127541	3.607405	0.941932	-0.328937	-0.067560	-0.071817	-0.000794	-0.997417	0.328034	0.944351	-0.024371
1160	-179.621711	20.969389	3.573564	0.950365	-0.303664	-0.067789	-0.071440	-0.000916	-0.997444	0.302826	0.952779	-0.022564
1161	-179.144566	20.823901	3.539629	0.958096	-0.278275	-0.067934	-0.071027	-0.001037	-0.997474	0.277501	0.960501	-0.020759
1162	-178.663729	20.691138	3.505642	0.965136	-0.252763	-0.067996	-0.070579	-0.001157	-0.997506	0.252054	0.967528	-0.018956
1163	-178.179544	20.571162	3.471645	0.971492	-0.227118	-0.067973	-0.070093	-0.001272	-0.997540	0.226472	0.973866	-0.017156
1164	-177.692350	20.464045	3.437681	0.977170	-0.201327	-0.067867	-0.069569	-0.001383	-0.997576	0.200745	0.979523	-0.015358
1165	-177.202486	20.369862	3.403791	0.982173	-0.175375	-0.067676	-0.069006	-0.001487	-0.997615	0.174856	0.984501	-0.013562
1166	-176.710290	20.288697	3.370017	0.986500	-0.149247	-0.067400	-0.068402	-0.001582	-0.997657	0.148791	0.988799	-0.011769
1167	-176.216100	20.220644	3.336403	0.990150	-0.122922	-0.067037	-0.067755	-0.001666	-0.997701	0.122528	0.992415	-0.009978
1168	-175.720255	20.165806	3.302993	0.993115	-0.096382	-0.066586	-0.067065	-0.001738	-0.997747	0.096049	0.995343	-0.008190
1169	-175.223101	20.124295	3.269830	0.995386	-0.069603	-0.066045	-0.066330	-0.001795	-0.997796	0.069331	0.997573	-0.006403
1170	-174.724988	20.096236	3.236961	0.996950	-0.042566	-0.065412	-0.065549	-0.001835	-0.997848	0.042354	0.999092	-0.004619
1171	-174.226273	20.081766	3.204433	0.997789	-0.015243	-0.064683	-0.064719	-0.001855	-0.997902	0.015091	0.999882	-0.002837
1172	-173.727323	20.081032	3.172292	0.997882	0.012385	-0.063858	-0.063839	-0.001852	-0.997958	-0.012478	0.999922	-0.001058
1173	-173.228519	20.094193	3.140590	0.997202	0.040347	-0.062930	-0.062908	-0.001824	-0.998018	-0.040382	0.999184	0.000719
1174	-172.730255	20.121422	3.109377	0.995718	0.068664	-0.061898	-0.061923	-0.001767	-0.998079	-0.068642	0.997638	0.002493
1175	-172.232941	20.162902	3.078707	0.993393	0.097359	-0.060757	-0.060883	-0.001677	-0.998143	-0.097280	0.995248	0.004262
1176	-171.737007	20.218828	3.048636	0.990186	0.126457	-0.059502	-0.059787	-0.001550	-0.998210	-0.126323	0.991971	0.006025
1177	-171.242907	20.289405	3.019222	0.986050	0.155971	-0.058129	-0.058631	-0.001383	-0.998279	-0.155783	0.987761	0.007781
1178	-170.751118	20.374848	2.990525	0.980931	0.185923	-0.056632	-0.057416	-0.001170	-0.998350	-0.185682	0.982564	0.009528
1179	-170.262145	20.475378	2.962608	0.974770	0.216327	-0.055006	-0.056139	-0.000906	-0.998423	-0.216036	0.976320	0.011262
1180	-169.776526	20.591222	2.935538	0.967505	0.247184	-0.053244	-0.054800	-0.000585	-0.998497	-0.246844	0.968968	0.012980
1181	-169.294829	20.722610	2.909384	0.959062	0.278502	-0.051342	-0.053398	-0.000202	-0.998573	-0.278115	0.960436	0.014678
1182	-168.817663	20.869769	2.884217	0.949379	0.310241	-0.049295	-0.051943	0.000275	-0.998650	-0.309809	0.950658	0.016376
1183	-168.345628	21.032798	2.860101	0.938606	0.341753	-0.047161	-0.050533	0.000968	-0.998722	-0.341270	0.939789	0.018178
1184	-167.879214	21.211416	2.837064	0.926913	0.372570	-0.044984	-0.049225	0.001875	-0.998786	-0.372033	0.928002	0.020078
1185	-167.418867	21.405264	2.815124	0.914341	0.402680	-0.042768	-0.048035	0.002985	-0.998841	-0.402086	0.915336	0.022072
1186	-166.965019	21.613991	2.794302	0.900918	0.432093	-0.040514	-0.046975	0.004284	-0.998887	-0.431439	0.901819	0.024157
1187	-166.518091	21.837252	2.774616	0.886667	0.460827	-0.038223	-0.046057	0.005762	-0.998922	-0.460110	0.887471	0.026333
1188	-166.078493	22.074716	2.756086	0.871595	0.488910	-0.035893	-0.045291	0.007405	-0.998946	-0.488129	0.872303	0.028597
1189	-165.646635	22.326065	2.738730	0.855705	0.516376	-0.033522	-0.044686	0.009200	-0.998959	-0.515530	0.856312	0.030947
1190	-165.222927	22.590998	2.722571	0.838988	0.543260	-0.031107	-0.044249	0.011135	-0.998958	-0.542347	0.839491	0.033381
1191	-164.807787	22.869233	2.707630	0.821424	0.569598	-0.028646	-0.043988	0.013198	-0.998945	-0.568618	0.821818	0.035896
1192	-164.401646	23.160507	2.693933	0.802981	0.595431	-0.026132	-0.043908	0.015374	-0.998917	-0.594384	0.803259	0.038490
1193	-164.004955	23.464581	2.681507	0.783611	0.620805	-0.023559	-0.044016	0.017652	-0.998875	-0.619690	0.783767	0.041157
1194	-163.618193	23.781234	2.670383	0.763251	0.645763	-0.020921	-0.044315	0.020018	-0.998817	-0.644580	0.763275	0.043895
1195	-163.241873	24.110270	2.660596	0.741821	0.670351	-0.018209	-0.044810	0.022458	-0.998743	-0.669099	0.741704	0.046698
1196	-162.876553	24.451515	2.652186	0.719221	0.694611	-0.015411	-0.045504	0.024960	-0.998652	-0.693290	0.718953	0.049559
1197	-162.522849	24.804815	2.645198	0.695328	0.718584	-0.012517	-0.046403	0.027507	-0.998544	-0.717193	0.694896	0.052471
1198	-162.181442	25.170034	2.639684	0.669994	0.742306	-0.009513	-0.047509	0.030086	-0.998418	-0.740845	0.669386	0.055424
1199	-161.853096	25.547056	2.635702	0.643039	0.765807	-0.006382	-0.048827	0.032680	-0.998272	-0.764276	0.642240	0.058406
1200	-161.538671	25.935776	2.633320	0.614246	0.789109	-0.003107	-0.050359	0.035270	-0.998108	-0.787506	0.613240	0.061404
